"rep","fold","rows_id","truth","prediction"
1,1,"CHEMBL382253",4.678,4.6645
1,2,"CHEMBL382702",4.959,4.91108823529412
1,2,"CHEMBL917",3.947,4.66476470588235
1,3,"CHEMBL214955",3.987,4.07616393442623
1,4,"CHEMBL222280",4.523,4.69713157894737
1,5,"CHEMBL272557",3.87,4.44263636363636
1,5,"CHEMBL443308",4.886,4.95643181818182
1,6,"CHEMBL216289",4.013,4.06295081967213
1,7,"CHEMBL405942",4.854,4.57
1,7,"CHEMBL52609",4.678,4.57
1,8,"CHEMBL271475",5.367,4.70007894736842
1,8,"CHEMBL788",4.509,4.70007894736842
1,9,"CHEMBL214082",5.018,4.89026470588235
1,10,"CHEMBL152",3.801,3.95666666666667
