"rep","fold","rows_id","truth","prediction"
1,1,"CHEMBL1458563",5.256,4.90232124511777
1,1,"CHEMBL257359",4.688,5.70317977425897
1,2,"CHEMBL1460470",5.356,5.07941401539437
1,2,"CHEMBL1517376",5.686,5.47397565059834
1,3,"CHEMBL1343544",5.773,5.46782096898484
1,3,"CHEMBL1611294",4.254,4.97518422287618
1,4,"CHEMBL1416439",4.681,5.02388533888656
1,4,"CHEMBL1990545",4.254,4.88589546018234
1,5,"CHEMBL1455226",5.613,5.05698813670935
1,5,"CHEMBL1465955",4.254,5.15048614186916
1,6,"CHEMBL1401747",4.855,5.08374822646926
1,6,"CHEMBL6246",6.267,5.13615807556106
1,7,"CHEMBL1464805",5.227,4.51484165803668
1,7,"CHEMBL1497651",6.847,5.18610951758948
1,8,"CHEMBL1431007",6.561,4.45638817219613
1,8,"CHEMBL1517227",4.971,5.27922718542013
1,9,"CHEMBL1329141",5.097,5.23661499334895
1,10,"CHEMBL1322297",4.254,5.32690876643295
1,10,"CHEMBL1988133",5.45,5.41695798073864
